creaturename,nametotype,bodyid,hues,notoriety,slayers,oppositeslayers,barddiff,physical,fire,cold,poison,energy,hitpoints,stamina,mana,str,dex,int,wrestling,tactics,resspell,anatomy,poisoning,healing,magery,evalint,meditation,tamable,halfstat,eightstat,isboss,ismount,location,specials,damage,slots,multislot,isneutral,innatemagery,innatenecro,innatepoisoning,innatemysticism,
paralithode,,729,1922,4,None,None,160,65-75,50-60,60-70,50-60,50-60,1800-2000,80-110,315-350,640-730,80-110,25-30,100-110,95-105,65-75,95-100,0-0,0-0,0-0,0-0,0-0,47.1,true,,,,,1028858-1028866,20-24,4-5,,,,,,,
parasitic eel,,52,0,4,Reptile-Snake,Arachnid,58.8,20-30,15-25,80-90,99-99,30-40,80-90,75-85,0-0,80-90,75-165,25-30,85-95,85-95,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
patchwork skeleton,,309,0,4,Demon,Elemental-Fey,59.7,55-65,50-60,70-80,100-100,40-50,55-75,70-95,15-40,95-120,70-95,15-40,50-70,55-80,70-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
pestilent bandage,,154,1301,4,Undead,Repond,91.2,45-50,10-15,50-60,20-25,20-25,430-435,140-180,55-80,705-740,140-180,55-80,70-100,75-95,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
phoenix,,5,1652,4,None,None,108.6,45-55,60-70,0-0,25-35,40-50,340-380,150-150,532-640,551-650,220-300,532-640,90-100,80-90,85-133,0-0,0-0,0-0,90-100,95-100,75-100,102,,,,,,1002106,20-25,3-5,5760,,true,,,,
pig,,200-203,0,4,None,None,5.9,10-15,0-0,0-0,0-0,0-0,10-15,20-20,0-0,20-20,20-20,5-5,5-5,5-5,5-5,0-0,0-0,0-0,0-0,0-0,0-0,11.1,,,,,,,2-4,1-3,,true,,,,,
pit fiend,,43,1863,4,Demon,Elemental-Fey,101.3,55-65,10-20,60-70,20-30,30-40,225-290,175-215,200-230,385-430,175-215,200-230,80-115,90-110,95-115,0-0,0-0,0-0,100-130,105-115,0-0,,,,,,,,,,,,,,,,
pixie,IsPixie,128,0,2,Fey,Demon,83.4,80-90,40-50,40-50,40-50,40-50,10-20,300-400,200-250,20-30,300-400,200-250,10-15,10-20,100-150,0-0,0-0,0-0,90-100,95-100,90-100,,,,,,,,,,,,,,,,
pixie renowned,,176,0,4,Fey,Demon,160,70-75,65-70,70-75,60-70,60-65,9130-9175,480-595,695-745,315-385,480-595,695-745,95-115,115-125,110-120,0-0,0-0,0-0,100-110,100-100,100-100,,,,true,,,,,,,,,,,,
plague beast,,775,0,4,None,None,81.5,45-55,40-50,25-35,65-75,25-35,315-405,80-80,15-20,300-500,80-80,15-20,100-100,100-100,35-35,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
plague beast lord,,775,0,4,None,None,144.5,45-55,40-50,25-35,75-85,25-35,1800-1800,100-100,30-30,500-500,100-100,30-30,100-100,100-100,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
plague spawn,,14-21-29-31-51,PlagueSpawnSkinHue,7,None,None,53.9,35-45,30-40,25-35,65-75,25-35,120-180,80-80,15-20,200-300,80-80,15-20,50-50,25-25,25-25,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
platinum drake,,1417-1418,0-33929-34134-34136-34141-35387,4,None,None,80.6,30-50,30-50,30-50,30-50,30-50,241-258,130-150,100-140,400-430,130-155,100-140,65-80,65-90,65-80,0-0,0-0,0-0,0-0,0-0,0-0,84.3,,,,,,1157414,11-17,2-5,,,,,,,
poison elemental,,162,0,4,Elemental-Poison Elemental,Demon,105.1,60-70,20-30,20-30,100-100,40-50,255-310,165-185,360-435,425-515,165-185,360-435,70-90,80-100,85-115,0-0,90-100,0-0,80-95,85-95,80-120,,,,,,,,,,,,,,,,
poison elemental,,162,32854,4,Elemental-Poison Elemental,Demon,130,60-70,50-60,50-60,100-100,40-50,950-1050,165-185,360-435,425-515,165-185,360-435,100-110,95-115,110-120,0-0,90-100,0-0,95-105,90-100,100-120,,,,,,shame,,,,,,,,,,
polar bear,,213,0-2301,4,Bear-Ice,None,38.9,25-35,0-0,60-80,15-25,10-15,70-85,80-105,0-0,115-140,80-105,25-50,45-70,60-90,45-60,0-0,0-0,0-0,0-0,0-0,0-0,35.1,,,,,,,7-12,1-3,,,,,,,
predator hellcat,,127,0,4,Fire,None,71.2,25-35,30-40,0-0,0-0,5-15,95-135,95-115,75-100,115-185,95-115,75-100,50-65,50-65,75-90,0-0,0-0,0-0,0-0,0-0,0-0,89.1,,,,,,1157414,5-17,1-3,,,,,,,
priest of mondain,IsPriestOfMondain,400-401,SkinHue,7,None,None,96.7,40-50,40-50,40-50,40-50,40-50,0-0,100-150,200-300,300-400,100-150,200-300,0-0,80-100,80-100,75-100,0-0,0-0,80-100,75-100,0-0,,,,,,,,,,,,,,,,
primeval lich,,830,0,4,Undead,Repond,160,30-30,30-30,30-30,30-30,30-30,30000-30000,100-100,5000-5000,500-500,100-100,1000-1000,120-120,100-100,150-150,0-0,0-0,0-0,100-100,100-100,120-120,,,,true,,,,,,,,,,,,
protector,,401,SkinHue,7,None,None,Immune,0-0,0-0,0-0,0-0,0-0,440-460,160-175,160-175,440-460,160-175,160-175,90-110,90-110,80-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
purifying blood elemental,,160,1911,7,Elemental-Blood Elemental,Demon,160,55-65,20-30,20-30,60-70,60-70,3000-3100,950-1000,100-125,950-1000,950-1000,950-1100,80-100,80-100,80-95,0-0,0-0,0-0,85-100,90-100,10-50,,,,,,,,,,,,,,,,
putrefier,,40,63,4,Demon,Elemental-Fey,160,65-80,65-75,50-60,100-100,40-50,3010-3780,230-450,200-415,1055-1330,230-450,200-415,110-130,115-130,140-165,0-0,0-0,0-0,115-120,130-130,40-85,,,,,,,,,,,,,,,,
putrid undead gargoyle,,722,1778,7,Undead,Repond,146,55-65,30-40,50-60,50-60,30-40,625-675,100-125,1015-1135,480-520,100-125,1015-1135,95-110,95-110,180-200,0-0,0-0,0-0,120-130,120-130,100-105,,,,,,,,,,,,,,,,
putrid undead guardian,,722,0,4,Undead,Repond,71.3,35-40,20-30,50-60,20-30,30-40,45-60,55-75,185-210,75-100,55-75,185-210,45-55,45-60,60-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
pyre,,5,1161,4,Bird,None,160,65-65,70-75,0-0,35-45,50-55,1780-1940,390-520,665-820,605-615,390-520,665-820,120-135,110-120,145-155,0-0,120-125,0-0,120-130,100-120,0-0,,,,,,,,,,,,,,,,
quagmire,,789,0,4,None,None,71,50-60,10-20,10-20,100-100,20-30,90-105,65-85,30-55,100-130,65-85,30-55,60-80,50-60,65-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
quartz elemental,,14,2575,4,Elemental-Earth Elemental,Demon,80,30-40,20-30,20-30,20-30,20-30,1000-1200,80-100,90-110,200-250,80-100,90-110,90-100,100-110,70-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
rabbit,,205,0-AnimalsHue,4,None,None,6,5-10,0-0,0-0,0-0,0-0,0-10,25-40,0-0,5-10,25-40,5-15,5-5,5-5,5-5,0-0,0-0,0-0,0-0,0-0,0-0,-18.9,,,,,,,1-1,1-2,,true,,,,,
raging grizzly bear,,212,0,4,None,None,124.9,50-70,0-0,30-45,10-20,10-20,765-910,815-1045,0-0,1310-1520,815-1045,185-350,90-120,70-120,300-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
rai-ju,,199,0,4,Elemental,Demon,82,45-65,70-85,30-60,50-70,60-80,200-280,85-135,175-180,155-225,85-135,175-180,85-95,55-65,110-120,25-35,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
rakktavi renowned,,142,0,7,Repond-Vermin,Undead,160,20-45,20-30,30-40,10-20,10-20,40000-40000,240-285,300-330,115-175,240-285,300-330,65-90,60-75,65-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
raptor,,730,0,4,None,None,82.6,45-50,50-60,40-50,20-30,30-40,340-400,130-150,100-150,400-475,130-155,100-150,65-95,75-100,75-90,0-0,0-0,0-0,0-0,0-0,0-0,107.1,,,,,,,11-17,2-5,,,,,,,
rat,,238,0-443,4,None,None,6,5-10,0-0,0-0,5-10,0-0,5-10,35-35,0-0,5-10,35-35,5-5,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,-0.9,,,,,,,1-2,1-2,,true,,,,,
ratman,IsRatman,42,0,4,Repond-Vermin,Undead,49.9,25-30,10-20,10-20,10-20,10-20,55-75,80-100,35-60,95-120,80-100,35-60,50-75,50-75,35-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ratman archer,IsRatman,142,0,4,Repond-Vermin,Undead,73.5,40-55,10-20,10-20,10-20,10-20,85-110,100-130,115-140,145-180,100-130,115-140,50-75,50-75,65-90,60-100,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ratman assassin,,42,0,4,Repond-Vermin,Undead,90,40-55,10-25,40-55,40-55,30-40,85-120,100-130,115-140,145-180,100-130,115-140,50-75,50-75,65-90,60-100,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ratman mage,IsRatman,143,0,4,Repond-Vermin,Undead,79.3,40-45,10-20,10-20,10-20,10-20,85-110,100-130,185-210,145-180,100-130,185-210,50-75,50-75,65-90,0-0,0-0,0-0,70-80,75-80,0-0,,,,,,,,,,,,,,,,
ravager,,314,0,4,Demon,Elemental-Fey,62.8,50-60,50-60,60-70,30-40,20-30,160-175,100-125,65-90,250-275,100-125,65-90,70-90,75-100,50-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
reaper,,47,0,4,None,None,74.1,35-45,15-25,10-20,30-40,40-50,40-130,0-0,100-250,65-215,65-75,100-250,50-60,45-60,100-125,0-0,0-0,0-0,90-100,95-100,0-0,,,,,,,,,,,,,,,,
red death,,793,33,7,Undead,Repond,158.7,60-70,90-90,0-0,100-100,0-0,1520-1615,240-255,240-255,315-325,240-255,240-255,120-145,120-145,120-145,120-145,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
red solen infiltrator queen,,783,0,4,None,None,83.1,30-40,30-35,25-35,35-40,35-40,150-165,140-165,95-120,325-350,140-165,95-120,90-90,90-90,90-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
red solen infiltrator warrior,,782,0,4,None,None,74.8,20-35,20-35,10-25,20-35,10-25,95-110,120-145,65-90,205-230,120-145,65-90,80-80,80-80,80-80,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
red solen queen,,783,0,4,None,None,79.3,30-40,30-35,25-35,35-40,25-30,150-165,120-145,75-100,295-320,120-145,75-100,90-90,90-90,70-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
red solen warrior,,782,0,4,None,None,72.8,20-35,20-35,10-25,20-35,10-25,95-110,100-125,35-60,195-220,100-125,35-60,80-80,80-80,60-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
red solen worker,,781,0,4,None,None,53.8,25-30,20-30,10-20,10-20,20-30,55-75,80-105,35-60,95-120,80-105,35-60,60-60,65-65,60-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
relanord,,778,2069-2070-2071,7,Demon,Elemental-Fey,82.6,25-55,10-60,25-60,100-100,5-60,435-470,60-70,55-80,750-775,60-70,55-80,45-70,30-60,30-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
rend,,276,1109,4,Reptile-Dragon,Arachnid,160,85-85,85-85,45-45,40-40,50-50,5280-5280,365-370,645-650,1270-1270,365-370,645-650,145-150,140-145,95-100,65-70,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
renegade changeling,,264,0,4,None,None,160,80-90,40-50,40-50,40-50,40-50,2450-2550,330-340,550-560,170-180,330-340,550-560,115-135,115-135,145-150,0-0,0-0,0-0,115-135,115-135,110-120,,,,,,,,,,,,,,,,
reptalon,,276,0,4,Reptile-Dragon,Arachnid,119.9,50-65,35-45,35-45,50-65,70-85,812-926,150-170,250-290,1000-1025,150-170,250-290,100-114,100-110,75-90,55-60,0-0,0-0,0-0,0-0,0-0,101.1,true,,,true,,1157414-1157458,21-28,2-5,4254,,,,,,
restless soul,,970,1107,4,None,None,19.8,15-25,5-15,25-40,5-10,10-20,15-25,25-40,25-40,25-40,25-40,25-40,20-30,20-30,20-30,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
revenant,,970,16846,7,Undead,Repond,Immune,55-65,30-40,60-70,20-30,20-30,240-300,240-280,100-200,400-500,295-315,100-200,90-100,90-100,100-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
revenant (summoned),,400,1,7,None,None,Immune,60-70,20-20,60-70,100-100,60-70,200-200,150-150,150-150,200-200,150-150,150-150,0-0,100-100,120-120,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
revenant lion,,251,0,4,Undead,Repond,94,40-60,20-30,50-60,55-65,40-50,250-280,155-175,75-105,275-320,155-175,75-105,80-90,60-80,70-90,0-0,120-130,0-0,80-90,85-90,85-95,,,,,,,,,,,,,,,,
ridable llama,,220,0,4,None,None,18.9,10-15,5-10,5-10,5-10,5-10,15-30,55-75,0-0,20-50,55-75,15-30,15-30,15-30,15-20,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,true,,,3-6,1-3,,,,,,,
ridgeback,,187,0,4,None,None,29.1,15-25,5-10,5-10,5-10,5-10,40-55,55-75,0-0,55-100,55-75,15-30,35-45,25-45,25-40,0-0,0-0,0-0,0-0,0-0,0-0,83.1,,,,true,,,3-5,1-3,,,,,,,
rikktor,,172,0,4,Reptile-Dragon,Arachnid,160,80-90,80-90,30-40,80-90,80-90,3000-3000,200-650,50-100,700-900,200-350,50-100,0-0,100-100,140-160,100-100,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
rising colossus (summoned),,829,0,,None,None,153.3,65-70,50-55,50-55,100-100,65-70,1450-1550,70-70,400-400,600-600,70-70,80-80,115-135,115-135,115-135,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ronin,,400-401,SkinHue,7,None,None,Immune,55-75,40-60,35-55,50-70,55-75,300-400,30-45,100-110,325-375,30-45,100-110,90-110,115-130,40-60,110-125,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
rotting corpse,,155,0,4,Undead,Repond,128.8,35-45,20-30,50-70,40-50,20-30,1200-1200,150-150,0-0,300-350,75-75,150-200,90-100,100-100,250-250,0-0,120-120,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
rotworm,,732,0,4,None,None,58.8,35-45,30-40,25-35,65-75,25-35,210-270,50-50,15-20,205-280,80-80,15-20,50-50,25-25,25-25,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ruddy boura,,715,0,4,Bovine,None,84.4,45-50,30-40,30-40,30-40,30-40,410-550,70-85,15-25,315-425,70-85,15-25,85-95,80-90,65-75,80-90,0-0,0-0,0-0,0-0,0-0,17.1,,,,,,,16-20,2-3,,,,,,,
rune beetle,,244,0,4,Beetle,None,110.2,40-65,35-50,35-50,75-95,40-60,310-360,121-150,375-450,400-465,121-170,375-450,70-80,80-95,95-110,0-0,120-140,0-0,100-110,110-125,95-110,93.9,,,,,,1075829-1002106-1002122-1157398,15-22,3-5,5760,,true,,true,,
saber-toothed tiger,,1416,0,4,None,None,70,45-65,30-40,55-65,25-35,35-45,362-428,150-150,443-469,486-525,150-150,443-469,85-95,100-105,85-100,0-0,0-0,0-0,0-0,0-0,0-0,102,true,,,,,1028838-1028842-1028855-1157561,21-28,2-5,,,,,,,
saliva,,30,286,4,None,None,96.2,45-50,35-40,35-40,40-40,30-30,485-490,150-155,90-95,150-155,150-155,90-95,120-125,140-145,95-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
sand vortex,,790,0,4,Elemental,Demon,75.6,80-90,60-70,60-70,60-70,60-70,50-65,170-195,75-100,95-120,170-195,75-100,80-80,70-70,150-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
satyr,,271,0,4,Fey,Demon,102.1,55-60,25-35,30-40,30-40,30-40,350-400,250-270,150-170,175-195,250-270,150-170,80-100,80-100,55-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
saurosaurus,,1291,0,4,Dinosaur-Eodon-Reptile,Myrmidex,160,75-85,80-90,45-55,35-45,45-55,1340-1484,200-210,401-440,800-825,200-210,401-440,100-130,100-120,25-40,0-0,0-0,0-0,0-0,0-0,0-0,102,true,,,,,1028840-1157424-1157428,21-28,3-5,,,,,,,
savage pack wolf,,225,0,4,None,None,90,50-60,50-60,60-70,50-60,50-60,600-750,50-70,0-0,100-150,50-70,20-30,80-100,80-100,50-80,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
savage rider,IsSavageRider,185,0,4,Repond,Undead,78.3,0-0,0-0,0-0,0-0,0-0,150-170,90-130,50-65,150-170,90-130,50-65,70-95,70-95,70-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
savage ridgeback,,188,0,7,None,None,29.1,15-20,10-15,15-20,10-15,10-15,40-55,55-75,0-0,55-100,55-75,15-30,35-45,25-45,25-40,0-0,0-0,0-0,0-0,0-0,0-0,83.1,,,,true,,,4-7,1-3,,,,,,,
savage shaman,IsSavageShaman,186,0,7,Repond,Undead,88.9,30-40,20-30,20-30,20-30,40-50,125-145,90-110,160-185,125-145,90-110,160-185,60-85,60-85,75-100,0-0,0-0,0-0,70-95,85-100,75-100,,,,,,,,,,,,,,,,
savage warrior,IsSavageWarrior,183-184,0,7,Repond,Undead,74.3,0-0,0-0,0-0,0-0,0-0,95-115,85-105,50-65,95-115,85-105,50-65,0-0,60-85,55-80,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
scorpion,,48,0,4,Arachnid-Scorpion,Reptile,65.1,20-25,10-15,20-25,40-50,10-15,50-65,75-95,0-0,70-115,75-95,15-30,50-65,60-75,30-35,0-0,80-100,0-0,0-0,0-0,0-0,47.1,,,,,,1002122,5-10,1-3,,,,,,,
sea serpent,,150,0,4,Reptile-Snake,Arachnid,73.2,25-35,50-60,30-40,30-40,15-20,110-130,55-85,50-95,165-225,55-85,50-95,60-70,60-70,60-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
searing elemental,,15,0,4,Elemental-Fire Elemental-Fire,Demon,100,67-67,50-50,71-71,71-71,50-50,332-332,249-249,252-252,191-191,158-158,174-174,146.9-146.9,146.9-146.9,130-130,146.9-146.9,0-0,0-0,130-130,130-130,130-130,,,,,,,,,,,,,,,,
semidar,,174,0,4,Demon,Elemental-Fey,160,20-30,50-60,20-30,20-30,10-20,1500-1500,100-250,600-750,500-600,100-200,600-750,90-105,90-105,120-140,0-0,0-0,0-0,90-105,95-100,95-100,,,,true,,,,,,,,,,,,
sentinel spider,,157,1141,4,Arachnid-Spider,Reptile,95.1,40-50,30-40,30-40,70-80,30-40,285-325,115-160,45-95,85-130,115-160,45-95,110-125,110-115,75-100,70-105,100-120,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
serado the awakened,,249,2412,4,Reptile-Snake,Arachnid,160,30-30,60-60,60-60,90-90,50-50,9000-9000,150-150,300-300,1000-1000,150-150,300-300,70-70,120-120,120-120,0-0,150-150,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
serpentine dragon,,103,0,4,Reptile-Dragon,Arachnid,128.8,35-40,25-35,25-35,25-35,25-35,480-480,150-150,1001-1040,111-140,201-220,1001-1040,30-100,50-60,100-100,0-0,0-0,0-0,110-120,105-110,100-100,108,,,,,,1157414-1002106,5-12,3-5,,,true,,,,
sewer rat,,238,0-443,4,Vermin,None,5.5,5-10,0-0,0-0,15-25,5-10,5-10,25-25,0-0,5-10,25-25,5-10,5-5,5-5,5-5,0-0,0-0,0-0,0-0,0-0,0-0,-0.9,,,,,,,1-2,1-2,,,,,,,
shade,,26,16385,4,Undead,Repond,69.4,25-30,0-0,15-25,10-20,0-0,45-60,75-95,35-60,75-100,75-95,35-60,45-55,45-60,55-70,0-0,0-0,0-0,55-70,60-70,0-0,,,,,,,,,,,,,,,,
shadow fiend the unseen,,168,0,4,None,None,22.1,20-25,20-25,40-45,60-70,5-10,25-35,45-55,45-55,45-55,120-130,45-55,20-30,20-30,20-30,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
shadow iron elemental,,111,0,4,Elemental,Demon,72.3,30-40,30-40,20-30,10-20,30-40,135-155,125-145,70-95,225-255,125-145,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
shadow knight,IsShadowKnight,311,0,4,Undead,Repond,160,90-90,65-65,75-75,75-75,55-55,2000-2000,100-100,100-100,250-250,100-100,100-100,100-100,100-100,120-120,0-0,0-0,0-0,100-100,100-100,100-100,,,,,,,,,,,,,,,,
shadow wisp,,165,0-1109,4,None,None,46.4,15-20,5-10,0-0,5-10,15-20,10-25,15-45,10-25,15-40,15-45,10-25,25-40,0-15,10-10,0-0,0-0,0-0,50-50,40-40,40-40,,,,,,,,,,,,,,,,
shadow wisp (summoned),,165,2305,,None,None,Immune,10-15,10-15,10-15,10-15,95-100,50-50,60-60,0-0,50-50,60-60,100-100,40-40,40-40,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
shadow wyrm,,106,0,4,Reptile-Dragon,Arachnid,124.9,65-75,50-60,45-55,20-30,50-60,561-600,44-100,488-620,898-1030,44-100,488-620,95-100,95-100,100-130,0-0,0-0,0-0,80-100,90-100,50-75,105,,,,,,1157414-1002106-1044109,29-35,5-5,,,true,true,,,
sheep,,207,0,4,None,None,6.5,5-10,0-0,0-0,0-0,0-0,10-15,25-25,0-0,15-20,25-25,5-5,5-5,5-10,5-5,0-0,0-0,0-0,0-0,0-0,0-0,11.1,,,,,,,1-2,1-2,,true,,,,,
shimmering effusion,,261,0,4,None,None,160,75-80,60-65,60-70,75-80,75-80,20000-20000,350-385,1510-1540,505-540,350-385,1510-1540,100-105,105-105,150-150,0-0,0-0,0-0,150-150,150-150,120-120,,,,true,,,,,,,,,,,,
silk,,157,1150,4,Arachnid-Spider,Reptile,96.8,50-50,30-35,35-40,80-80,35-40,370-370,120-125,70-70,110-115,120-125,70-70,120-125,100-105,95-100,70-75,95-100,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
silvani,,176,0,4,Fey,Demon,128.1,45-55,30-40,30-40,40-50,40-50,600-600,155-850,500-800,250-400,155-850,500-800,95-100,95-100,100-150,0-0,0-0,0-0,95-110,100-100,100-100,,,,,,,,,,,,,,,,
silver serpent,,93,1150,4,Reptile-Snake,Arachnid,80.1,35-45,5-10,5-10,100-100,5-10,95-220,150-300,20-40,160-360,150-300,20-40,85-100,80-95,95-100,0-0,90-100,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
silverback gorilla,,29,0,4,Eodon,None,20,20-30,10-20,20-30,40-50,10-20,50-65,170-195,75-100,95-120,170-195,75-100,80-80,70-70,150-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
sir patrick,,147,1150,4,Undead,Repond,130.1,55-65,40-50,70-80,40-50,50-60,710-880,105-135,55-100,255-320,105-135,55-100,130-135,130-140,100-120,125-140,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
skeletal dragon,,104,0,4,Reptile-Dragon,Arachnid,118.3,75-80,40-60,40-60,70-80,40-60,555-600,65-200,485-620,895-1030,65-200,485-620,95-100,95-100,100-130,0-0,0-0,0-0,80-100,90-100,0-0,,,,,,,,,,,,,,,,
skeletal dragon renowned,,104,906,4,Reptile-Dragon,Arachnid,130,75-80,40-60,40-60,70-80,40-60,1170-1190,125-145,535-550,940-980,125-145,535-550,95-100,95-100,115-125,0-0,0-0,0-0,80-100,80-100,0-0,,,,true,,,,,,,,,,,,
skeletal drake,,104,2101,4,Reptile-Dragon,Arachnid,103.3,70-80,40-55,50-60,70-80,50-60,385-395,55-75,330-390,645-700,55-75,330-390,65-70,70-80,80-100,0-0,0-0,0-0,55-70,60-70,0-0,,,,,,,,,,,,,,,,
skeletal knight,,147,0,4,Undead,Repond,67.4,35-45,20-30,50-60,20-30,30-40,115-150,75-95,35-60,195-250,75-95,35-60,85-95,85-100,65-80,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
skeletal lich,,309,1345,4,Undead,Repond,151.5,35-45,25-30,55-65,0-0,40-50,1500-1500,175-180,180-215,450-450,150-175,180-215,90-90,75-75,50-75,0-0,0-0,0-0,80-90,80-90,100-100,,,,,,,,,,,,,,,,
skeletal mage,,148,0,4,Undead-Mage,Repond,71.8,35-40,20-30,50-60,20-30,30-40,45-60,55-75,185-210,75-100,55-75,185-210,45-55,45-60,55-70,0-0,0-0,0-0,60-70,65-70,0-0,,,,,,,,,,,,,,,,
skeletal steed,,793,0,7,Undead,Repond,51,50-60,0-0,90-95,100-100,10-15,40-50,45-55,45-60,90-100,45-55,45-60,70-80,50-50,95-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,true,,,,,,,,,,,
skeleton,,50-56,0,4,Undead,Repond,38.9,15-20,5-10,25-40,25-35,5-15,30-50,55-75,15-40,55-80,55-75,15-40,45-55,45-60,45-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
skittering hopper,,302,0,4,None,None,38.8,5-10,0-0,10-20,0-0,5-10,30-45,90-115,25-50,40-65,90-115,25-50,40-60,45-70,30-45,0-0,0-0,0-0,0-0,0-0,0-0,-12.9,,,,,,,3-5,1-2,,true,,,,,
skree,,733,0,4,Reptile,Arachnid,91.9,70-75,70-80,55-70,85-95,65-70,302-500,95-125,394-657,394-330,95-125,394-657,100-120,20-25,75-90,0-0,0-0,0-0,90-113,90-100,65-75,96,,,,,,1044115,5-7,3-5,5760,,true,,,true,
slasher of veils,,741,0,7,Demon,Elemental-Fey,160,65-80,70-80,70-80,70-80,70-80,50000-50000,125-160,10000-10000,900-1090,125-160,1075-1200,110-130,110-130,110-130,110-130,0-0,0-0,110-130,110-130,110-130,,,,true,,,,,,,,,,,,
slime,,51,SlimeHue,4,None,None,32.5,5-10,0-0,0-0,10-20,0-0,15-20,15-25,15-20,20-35,15-25,15-20,15-35,15-35,15-20,0-0,30-50,0-0,0-0,0-0,0-0,23.1,,,,,,1002122,1-5,1-2,,,,,,,
slith,,734,0,4,Reptile,Arachnid,61.3,35-45,30-45,0-0,25-35,25-35,75-85,55-75,10-20,125-150,55-75,10-20,60-80,60-80,60-70,0-0,0-0,0-0,0-0,0-0,0-0,80.7,,,,,,1157414,6-24,1-4,,,,,,,
snake,,52,SnakeHue,4,Reptile-Snake,Arachnid,30.3,15-20,0-0,0-0,20-30,0-0,15-20,15-25,0-0,20-35,15-25,5-10,15-35,15-35,15-20,0-0,50-70,0-0,0-0,0-0,0-0,59.1,,,,,,1002122,1-4,1-2,,,,,,,
